ShprNo,AWB,Delivery_Date,CODAmount,CODCurrency,O_CODAmount,Aramex_Inv_date,TOKENNO,order_number
11150.0,8596268662,2024-03-01,0.0,USD,0.0,2024-03-05,0603245MM,400261.0
11150.0,8596268663,2024-03-01,0.0,USD,11.91,2024-03-05,0603245MM,400262.0
11150.0,8596268664,2024-03-01,0.0,USD,9.975,2024-03-05,0603245MM,400263.0
11150.0,8596268721,2024-03-01,0.0,USD,16.525,2024-03-05,0603245MM,400320.0
11150.0,8596268722,2024-03-01,0.0,USD,12.77,2024-03-05,0603245MM,400321.0
11150.0,8596268724,2024-03-01,0.0,USD,17.325,2024-03-05,0603245MM,400323.0
11150.0,8596268726,2024-03-01,0.0,USD,8.59,2024-03-05,0603245MM,400325.0
11150.0,8596268730,2024-03-01,0.0,USD,12.5,2024-03-05,0603245MM,400329.0
11150.0,8596268732,2024-03-01,0.0,USD,4.51,2024-03-05,0603245MM,400331.0
11150.0,8596268740,2024-03-01,0.0,USD,3.25,2024-03-05,0603245MM,400339.0
11150.0,8596268747,2024-03-01,0.0,USD,2.25,2024-03-05,0603245MM,400346.0
11150.0,8596268748,2024-03-01,0.0,USD,16.5,2024-03-05,0603245MM,400347.0
11150.0,8596268749,2024-03-01,0.0,USD,29.945,2024-03-05,0603245MM,400348.0
11150.0,8596268751,2024-03-01,0.0,USD,6.265,2024-03-05,0603245MM,400350.0
11150.0,8596268752,2024-03-01,0.0,USD,7.905,2024-03-05,0603245MM,400351.0
11150.0,8596268755,2024-03-01,0.0,USD,14.1,2024-03-05,0603245MM,400354.0
11150.0,8596268756,2024-03-01,0.0,USD,5.1,2024-03-05,0603245MM,400355.0
11150.0,8596268758,2024-03-01,0.0,USD,7.025,2024-03-05,0603245MM,400357.0
11150.0,8596268759,2024-03-01,431837.5,LBP,0.0,2024-03-05,0603245MM,400358.0
11150.0,8596268760,2024-03-01,1310280.0,LBP,0.0,2024-03-05,0603245MM,400359.0
11150.0,8596268762,2024-03-01,686912.5,LBP,0.0,2024-03-05,0603245MM,400361.0
11150.0,8596268764,2024-03-01,850250.0,LBP,0.0,2024-03-05,0603245MM,400363.0
11150.0,8596268765,2024-03-01,1951547.5,LBP,0.0,2024-03-05,0603245MM,400364.0
11150.0,8596268766,2024-03-01,736585.0,LBP,0.0,2024-03-05,0603245MM,400365.0
11150.0,8596268768,2024-03-01,1401122.5,LBP,0.0,2024-03-05,0603245MM,400367.0
11150.0,8596268769,2024-03-01,1168870.0,LBP,0.0,2024-03-05,0603245MM,400368.0
11150.0,8596268771,2024-03-01,751800.0,LBP,0.0,2024-03-05,0603245MM,400370.0
11150.0,8596268772,2024-03-01,0.0,USD,7.92,2024-03-05,0603245MM,400371.0
11150.0,8596268773,2024-03-01,0.0,USD,24.9,2024-03-05,0603245MM,400372.0
11150.0,8596268774,2024-03-01,0.0,USD,4.25,2024-03-05,0603245MM,400373.0
11150.0,8596268776,2024-03-01,0.0,USD,13.015,2024-03-05,0603245MM,400375.0
11150.0,8596268777,2024-03-01,0.0,USD,13.28,2024-03-05,0603245MM,400376.0
11150.0,8596268778,2024-03-01,0.0,USD,4.125,2024-03-05,0603245MM,400377.0
11150.0,8596268779,2024-03-01,0.0,USD,12.25,2024-03-05,0603245MM,400378.0
11150.0,8596268780,2024-03-01,0.0,USD,5.2,2024-03-05,0603245MM,400379.0
11150.0,8596268781,2024-03-01,0.0,USD,13.65,2024-03-05,0603245MM,400380.0
11150.0,8596268782,2024-03-01,451975.0,LBP,0.0,2024-03-05,0603245MM,400381.0
11150.0,8596268783,2024-03-01,907530.0,LBP,0.0,2024-03-05,0603245MM,400382.0
11150.0,8596268784,2024-03-01,820715.0,LBP,0.0,2024-03-05,0603245MM,400383.0
11150.0,8596268786,2024-03-01,1492412.5,LBP,0.0,2024-03-05,0603245MM,400385.0
11150.0,8596268788,2024-03-01,2519425.0,LBP,0.0,2024-03-05,0603245MM,400387.0
11150.0,8596268790,2024-03-01,353972.5,LBP,0.0,2024-03-05,0603245MM,400389.0
11150.0,8596268791,2024-03-01,689597.5,LBP,0.0,2024-03-05,0603245MM,400390.0
11150.0,8596268793,2024-03-01,779097.5,LBP,0.0,2024-03-05,0603245MM,400392.0
11150.0,8596268795,2024-03-01,800130.0,LBP,0.0,2024-03-05,0603245MM,400394.0
11150.0,8596268797,2024-03-01,1038200.0,LBP,0.0,2024-03-05,0603245MM,400396.0
11150.0,8596268799,2024-03-01,669012.5,LBP,0.0,2024-03-05,0603245MM,400398.0
11150.0,8596268820,2024-03-01,571905.0,LBP,0.0,2024-03-05,0603245MM,400419.0
11150.0,8596268821,2024-03-01,0.0,USD,4.625,2024-03-05,0603245MM,400420.0
11150.0,8596268822,2024-03-01,0.0,USD,12.565,2024-03-05,0603245MM,400421.0
