ShprNo,HAWB,Delivery_Date,CODAmount,CODCurrency,O_CODAmount,Aramex_Inv_date,TOKENNO
11150,8596259674,2024-01-03,0.0,USD,13.225,2024-01-03,030124TY
11150,8596259675,2024-01-03,0.0,USD,6.15,2024-01-03,030124TY
11150,8596259676,2024-01-03,0.0,USD,14.04,2024-01-03,030124TY
11150,8596259677,2024-01-03,0.0,USD,15.315,2024-01-03,030124TY
11150,8596259678,2024-01-03,0.0,USD,6.73,2024-01-03,030124TY
11150,8596259679,2024-01-03,0.0,USD,6.075,2024-01-03,030124TY
11150,8596259680,2024-01-03,0.0,USD,3.275,2024-01-03,030124TY
11150,8596259681,2024-01-03,0.0,USD,6.84,2024-01-03,030124TY
11150,8596259682,2024-01-03,0.0,USD,13.215,2024-01-03,030124TY
11150,8596259683,2024-01-03,0.0,USD,9.885,2024-01-03,030124TY
11150,8596259684,2024-01-03,0.0,USD,7.935,2024-01-03,030124TY
11150,8596259685,2024-01-03,0.0,USD,9.005,2024-01-03,030124TY
11150,8596259686,2024-01-03,0.0,USD,12.285,2024-01-03,030124TY
11150,8596259687,2024-01-03,0.0,USD,6.3,2024-01-03,030124TY
11150,8596259688,2024-01-03,0.0,USD,7.685,2024-01-03,030124TY
11150,8596259689,2024-01-03,0.0,USD,6.26,2024-01-03,030124TY
11150,8596259690,2024-01-03,0.0,USD,17.475,2024-01-03,030124TY
11150,8596259691,2024-01-03,0.0,USD,14.51,2024-01-03,030124TY
11150,8596259692,2024-01-03,0.0,USD,7.66,2024-01-03,030124TY
11150,8596259693,2024-01-03,0.0,USD,12.035,2024-01-03,030124TY
11150,8596259694,2024-01-03,0.0,USD,5.775,2024-01-03,030124TY
11150,8596259695,2024-01-03,0.0,USD,3.945,2024-01-03,030124TY
11150,8596259696,2024-01-03,0.0,USD,5.91,2024-01-03,030124TY
11150,8596259697,2024-01-03,0.0,USD,6.45,2024-01-03,030124TY
11150,8596259698,2024-01-03,0.0,USD,18.55,2024-01-03,030124TY
11150,8596259699,2024-01-03,0.0,USD,10.04,2024-01-03,030124TY
11150,8596259700,2024-01-03,0.0,USD,7.04,2024-01-03,030124TY
11150,8596259701,2024-01-03,0.0,USD,13.38,2024-01-03,030124TY
11150,8596259702,2024-01-03,0.0,USD,5.98,2024-01-03,030124TY
11150,8596259703,2024-01-03,0.0,USD,13.62,2024-01-03,030124TY
11150,8596259704,2024-01-03,0.0,USD,29.725,2024-01-03,030124TY
11150,8596259705,2024-01-03,0.0,USD,10.84,2024-01-03,030124TY
11150,8596259706,2024-01-03,0.0,USD,5.155,2024-01-03,030124TY
11150,8596259707,2024-01-03,0.0,USD,18.46,2024-01-03,030124TY
11150,8596259708,2024-01-03,0.0,USD,6.155,2024-01-03,030124TY
11150,8596259709,2024-01-03,0.0,USD,18.685,2024-01-03,030124TY
11150,8596259710,2024-01-03,0.0,USD,9.805,2024-01-03,030124TY
11150,8596259711,2024-01-03,0.0,USD,13.72,2024-01-03,030124TY
11150,8596259712,2024-01-03,0.0,USD,12.11,2024-01-03,030124TY
11150,8596259713,2024-01-03,0.0,USD,5.96,2024-01-03,030124TY
11150,8596259714,2024-01-03,0.0,USD,8.1,2024-01-03,030124TY
11150,8596259715,2024-01-03,0.0,USD,10.1,2024-01-03,030124TY
11150,8596259716,2024-01-03,0.0,USD,9.475,2024-01-03,030124TY
11150,8596259717,2024-01-03,0.0,USD,4.555,2024-01-03,030124TY
11150,8596259718,2024-01-03,0.0,USD,13.4,2024-01-03,030124TY
11150,8596259719,2024-01-03,0.0,USD,9.73,2024-01-03,030124TY
11150,8596259720,2024-01-03,0.0,USD,17.76,2024-01-03,030124TY
11150,8596259721,2024-01-03,0.0,USD,5.88,2024-01-03,030124TY
11150,8596259722,2024-01-03,0.0,USD,3.22,2024-01-03,030124TY
11150,8596259723,2024-01-03,0.0,USD,6.515,2024-01-03,030124TY
11150,8596259724,2024-01-03,0.0,USD,9.895,2024-01-03,030124TY
11150,8596259725,2024-01-03,0.0,USD,17.83,2024-01-03,030124TY
11150,8596259726,2024-01-03,0.0,USD,10.015,2024-01-03,030124TY
11150,8596259727,2024-01-03,0.0,USD,14.87,2024-01-03,030124TY
11150,8596259728,2024-01-03,0.0,USD,6.455,2024-01-03,030124TY
11150,8596259729,2024-01-03,0.0,USD,12.125,2024-01-03,030124TY
11150,8596259730,2024-01-03,0.0,USD,11.11,2024-01-03,030124TY
11150,8596259731,2024-01-03,0.0,USD,5.4,2024-01-03,030124TY
11150,8596259732,2024-01-03,0.0,USD,13.315,2024-01-03,030124TY
11150,8596259733,2024-01-03,0.0,USD,8.805,2024-01-03,030124TY
11150,8596259734,2024-01-03,0.0,USD,13.38,2024-01-03,030124TY
11150,8596259735,2024-01-03,0.0,USD,4.9,2024-01-03,030124TY
11150,8596259736,2024-01-03,0.0,USD,6.63,2024-01-03,030124TY
11150,8596259737,2024-01-03,0.0,USD,6.415,2024-01-03,030124TY
11150,8596259738,2024-01-03,0.0,USD,6.995,2024-01-03,030124TY
11150,8596259739,2024-01-03,0.0,USD,4.555,2024-01-03,030124TY
11150,8596259740,2024-01-03,0.0,USD,6.605,2024-01-03,030124TY
11150,8596259741,2024-01-03,0.0,USD,5.285,2024-01-03,030124TY
11150,8596259742,2024-01-03,0.0,USD,5.28,2024-01-03,030124TY
11150,8596259743,2024-01-03,0.0,USD,6.04,2024-01-03,030124TY
11150,8596259744,2024-01-03,0.0,USD,6.5,2024-01-03,030124TY
11150,8596259745,2024-01-03,0.0,USD,18.695,2024-01-03,030124TY
11150,8596259746,2024-01-03,0.0,USD,5.78,2024-01-03,030124TY
11150,8596259747,2024-01-03,0.0,USD,11.27,2024-01-03,030124TY
11150,8596259748,2024-01-03,0.0,USD,5.42,2024-01-03,030124TY
11150,8596259749,2024-01-03,0.0,USD,5.04,2024-01-03,030124TY
11150,8596259750,2024-01-03,0.0,USD,19.73,2024-01-03,030124TY
11150,8596259751,2024-01-03,0.0,USD,16.535,2024-01-03,030124TY
11150,8596259752,2024-01-03,0.0,USD,6.685,2024-01-03,030124TY
11150,8596259753,2024-01-03,0.0,USD,18.58,2024-01-03,030124TY
11150,8596259754,2024-01-03,0.0,USD,39.575,2024-01-03,030124TY
