Date,Rate
2023-12-01,90000
2023-12-02,90000
2023-12-03,90000
2023-12-04,90000
2023-12-05,90000
2023-12-06,90000
2023-12-07,90000
2023-12-08,90000
2023-12-09,90000
2023-12-10,90000
2023-12-11,90000
2023-12-12,90000
2023-12-13,90000
2023-12-14,90000
2023-12-15,90000
2023-12-16,90000
2023-12-17,90000
2023-12-18,90000
2023-12-19,89500
2023-12-20,89500
2023-12-21,89500
2023-12-22,89500
2023-12-23,89500
2023-12-24,89500
2023-12-25,89500
2023-12-26,89500
2023-12-27,89500
2023-12-28,89500
2023-12-29,89500
2023-12-30,89500
2023-12-31,89500
2024-01-01,89500
2024-01-02,89500
2024-01-03,89500
2024-01-04,89500
2024-01-05,89500
2024-01-06,89500
2024-01-07,89500
2024-01-08,89500
2024-01-09,89500
2024-01-10,89500
2024-01-11,89500
2024-01-12,89500
2024-01-13,89500
2024-01-14,89500
2024-01-15,89500
2024-01-16,89500
2024-01-17,89500
2024-01-18,89500
2024-01-19,89500
2024-01-20,89500
2024-01-21,89500
2024-01-22,89500
2024-01-23,89500
2024-01-24,89500
2024-01-25,89500
2024-01-26,89500
2024-01-27,89500
2024-01-28,89500
2024-01-29,89500
2024-01-30,89500
2024-01-31,89500
2024-02-01,89500
2024-02-02,89500
2024-02-03,89500
2024-02-04,89500
2024-02-05,89500
2024-02-06,89500
2024-02-07,89500
2024-02-08,89500
2024-02-09,89500
2024-02-10,89500
2024-02-11,89500
2024-02-12,89500
2024-02-13,89500
2024-02-14,89500
2024-02-15,89500
2024-02-16,89500
2024-02-17,89500
2024-02-18,89500
2024-02-19,89500
2024-02-20,89500
2024-02-21,89500
2024-02-22,89500
2024-02-23,89500
2024-02-24,89500
2024-02-25,89500
2024-02-26,89500
2024-02-27,89500
2024-02-28,89500
2024-02-29,89500
2024-03-01,89500
2024-03-02,89500
2024-03-04,89500
2024-03-05,89500
2024-03-06,89500
2024-03-07,89500
2024-03-08,89500
2024-03-09,89500
2024-03-11,89500
2024-03-12,89500
2024-03-13,89500
2024-03-14,89500
2024-03-15,89500
2024-03-16,89500
2024-03-18,89500
2024-03-19,89500
2024-03-20,89500
2024-03-21,89500
2024-03-22,89500
2024-03-23,89500
2024-03-25,89500
2024-03-26,89500
2024-03-27,89500
2024-03-28,89500
2024-03-29,89500
2024-03-30,89500
