Order Number,Shipper Name,Created At,Delivered At,Billing Type,Amount,Currency,Country,AWB
391273,Aramex,2023-06-05,2024-01-03,cash,13.225,USD,LB,8596259674
391274,Aramex,2023-06-05,2024-01-03,cash,6.15,USD,LB,8596259675
391275,Aramex,2023-06-05,2024-01-03,cash,14.04,USD,LB,8596259676
391276,Aramex,2023-06-05,2024-01-03,cash,15.315,USD,LB,8596259677
391277,Aramex,2023-06-05,2024-01-03,cash,6.73,USD,LB,8596259678
391278,Aramex,2023-06-05,2024-01-03,cash,6.075,USD,LB,8596259679
391279,Aramex,2023-06-05,2024-01-03,cash,3.275,USD,LB,8596259680
391280,Aramex,2023-06-05,2024-01-03,cash,6.84,USD,LB,8596259681
391281,Aramex,2023-06-05,2024-01-03,cash,13.215,USD,LB,8596259682
391282,Aramex,2023-06-05,2024-01-03,cash,9.885,USD,LB,8596259683
391283,Aramex,2023-06-05,2024-01-03,cash,7.935,USD,LB,8596259684
391284,Aramex,2023-06-05,2024-01-03,cash,9.005,USD,LB,8596259685
391285,Aramex,2023-06-05,2024-01-03,cash,12.285,USD,LB,8596259686
391286,Aramex,2023-06-05,2024-01-03,cash,6.3,USD,LB,8596259687
391287,Aramex,2023-06-05,2024-01-03,cash,7.685,USD,LB,8596259688
391288,Aramex,2023-06-05,2024-01-03,cash,6.26,USD,LB,8596259689
391289,Aramex,2023-06-06,2024-01-03,cash,17.475,USD,LB,8596259690
391290,Aramex,2023-06-06,2024-01-03,cash,14.51,USD,LB,8596259691
391291,Aramex,2023-06-06,2024-01-03,cash,7.66,USD,LB,8596259692
391292,Aramex,2023-06-06,2024-01-03,cash,12.035,USD,LB,8596259693
391293,Aramex,2023-06-06,2024-01-03,cash,5.775,USD,LB,8596259694
391294,Aramex,2023-06-06,2024-01-03,cash,3.945,USD,LB,8596259695
391295,Aramex,2023-06-06,2024-01-03,cash,5.91,USD,LB,8596259696
391296,Aramex,2023-06-06,2024-01-03,cash,6.45,USD,LB,8596259697
391297,Aramex,2023-06-06,2024-01-03,cash,18.55,USD,LB,8596259698
391298,Aramex,2023-06-06,2024-01-03,cash,10.04,USD,LB,8596259699
391299,Aramex,2023-06-06,2024-01-03,cash,7.04,USD,LB,8596259700
391300,Aramex,2023-06-06,2024-01-03,cash,13.38,USD,LB,8596259701
391301,Aramex,2023-06-06,2024-01-03,cash,5.98,USD,LB,8596259702
391302,Aramex,2023-06-06,2024-01-03,cash,13.62,USD,LB,8596259703
