OPERATING_UNIT_NAME,ORACLE_REFERENCE_ORDER_NUMBER,ECOM_REFERENCE_ORDER_NUMBER,ORDER_TYPE,ORDER_TYPE_NAME,ORDERED_ITEM,ORDERED_QUANTITY,PRICING_QUANTITY_UOM,UNIT_SELLING_PRICE (after discount without vat),UNIT_LIST_PRICE( original price before discount without vat),ORDERED_DATE,CUSTOMER_NAME,TAX_CODE
Ch. Sarraf BU 3,467,400406,S,CHS BU3 POS SLS,C0003751,1,Pcs,6.422000000000001,7.0,2024-03-05,E-commerce,REVENUE VAT 11%
Ch. Sarraf BU 3,468,400851,S,CHS BU3 POS SLS,C0004198,1,Pcs,8.108,8.108,2024-03-07,E-commerce,REVENUE VAT 11%
Ch. Sarraf BU 3,469,400779,S,CHS BU3 POS SLS,C0003751,2,Pcs,7.0,7.0,2024-03-06,E-commerce,REVENUE VAT 11%
Ch. Sarraf BU 3,469,400843,S,CHS BU3 POS SLS,C0003733,1,Pcs,6.3740000000000006,6.3740000000000006,2024-03-06,E-commerce,REVENUE VAT 11%
Ch. Sarraf BU 3,471,401089,S,CHS BU3 POS SLS,C0003733,2,Pcs,6.3740000000000006,6.3740000000000006,2024-03-08,E-commerce,REVENUE VAT 11%
Cosmaline Local,2866,400810,S,COS POS SLS,174347,1,Pcs,0.8615,1.0135,2024-03-11,E-commerce,REVENUE VAT 11%
Cosmaline Local,2866,400810,S,COS POS SLS,174750,1,Pcs,0.8230000000000001,0.9685,2024-03-11,E-commerce,REVENUE VAT 11%
Cosmaline Local,2866,400870,S,COS POS SLS,197954,2,Pcs,0.766,0.901,2024-03-11,E-commerce,REVENUE VAT 11%
Cosmaline Local,2866,400870,S,COS POS SLS,174270,1,Pcs,0.8615,1.0135,2024-03-11,E-commerce,REVENUE VAT 11%
Cosmaline Local,2866,400870,S,COS POS SLS,174450,1,Pcs,1.3210000000000002,1.554,2024-03-11,E-commerce,REVENUE VAT 11%
Cosmaline Local,2866,400870,S,COS POS SLS,174430,1,Pcs,1.419,1.419,2024-03-11,E-commerce,REVENUE VAT 11%
Cosmaline Local,2866,400870,S,COS POS SLS,191427,2,Pcs,0.6890000000000001,0.811,2024-03-11,E-commerce,REVENUE VAT 11%
Cosmaline Local,2866,400884,S,COS POS SLS,196522,6,Pcs,1.1295,1.329,2024-03-11,E-commerce,REVENUE VAT 11%
Cosmaline Local,2866,400884,S,COS POS SLS,193615,7,Pcs,1.091,1.284,2024-03-11,E-commerce,REVENUE VAT 11%
Cosmaline Local,2866,400884,S,COS POS SLS,191240,17,Pcs,0.919,1.081,2024-03-11,E-commerce,REVENUE VAT 11%
Cosmaline Local,2866,400884,S,COS POS SLS,174720,10,Pcs,0.919,1.081,2024-03-11,E-commerce,REVENUE VAT 11%
Cosmaline Local,2866,400884,S,COS POS SLS,175407,5,Pcs,1.225,1.4415,2024-03-11,E-commerce,REVENUE VAT 11%
Cosmaline Local,2866,401182,S,COS POS SLS,196401,1,Pcs,0.894,0.991,2024-03-11,E-commerce,REVENUE VAT 11%
Cosmaline Local,2866,401182,S,COS POS SLS,174874,2,Pcs,0.7315,0.811,2024-03-11,E-commerce,REVENUE VAT 11%
