Potential Niche Products based on Purchase Frequency:
                                                                    product_name  ecom_reference_order_number
                                                 catrice 48h power stay brow gel                            1
                            catrice disney princess pocahontas hydrogel facemask                            1
                                               catrice professional brow palette                            1
                                                  catrice skin face mask spatula                            2
                                                         catrice skin face serum                            2
                                        collistar anticellulite cryo gel boosted                            1
                                                        collistar collagen cream                            1
                                                     collistar eye hydro gel ice                            1
                                              collistar hyaluronic acid aqua gel                            1
                                           collistar protection milk spray spf50                            1
                                    collistar reshaping draining solution refill                            1
                                              collistar reshaping draining wraps                            1
                                cosmal cure professional developer cream 9 30vol                            1
                cosmal cure professional hair color cream burgundy 4 6 developer                            1
        cosmal cure professional hair color cream dark blonde matt 6 2 developer                            1
      cosmal cure professional hair color cream dark copper blonde 6 4 developer                            2
      cosmal cure professional hair color cream extra light blonde 9 0 developer                            1
             cosmal cure professional hair color cream gold blonde 9 3 developer                            2
                cosmal cure professional hair color cream hazelnut 7 3 developer                            1
            cosmal cure professional hair color cream honey blonde 8 3 developer                            1
cosmal cure professional hair color cream medium blonde ash pearl 7 18 developer                            1
                               cosmaline antiperspirant roll on bright sensation                            2
                                                    cosmaline baby discovery kit                            2
                                       cosmaline micellar cleansing water in oil                            1
                                                          cosmaline smiles small                            1
                                                                 eimi sugar lift                            1
                                     essence after shape brow roller cooling and                            1
                                           essence brow like a boss ink brow gel                            2
                                                       essence brow pomade brush                            1
                                      essence disney lion king eyeshadow palette                            2
                                            essence disney mickey friends bouncy                            1
                                    essence disney princess jasmine false lashes                            1
                                essence french manicure sheer beauty nail polish                            1
                                             essence french manicure tip painter                            1
                                              essence gel nail polish 01 gloss n                            1
                                            essence gel nail polish 40 isn t she                            1
                                       essence grow like a boss lash brow growth                            1
                                                          essence jurassic world                            1
                                                     essence lash princess liner                            2
                                                   essence love that glow bronze                            2
                                                       essence matt mousse mk up                            2
                                               essence mattifying compact powder                            1
                                     essence pumpkins pretty creamy shadow liner                            1
                                       essence pumpkins pretty eyeshadow palette                            2
                                       essence pumpkins pretty matte nail polish                            2
                                     essence pumpkins pretty smoothing lip patch                            2
                                               essence soft touch mousse make up                            1
                                                    essence super fine liner pen                            2
                                          essence welcome to cape town eyeshadow                            2
                                                       fine napkin 33 3ply black                            2
                                                       fine napkin 40 1ply black                            1
                                               fusion intense repair conditioner                            1
                                                      fusion intense repair mask                            2
                                                   fusion intense repair shampoo                            2
                                                               gsc bb for sports                            1
                                              invigo balance clean scalp shampoo                            1
                                                     invigo leave in wonder balm                            1
                                                    kadus color radiance shampoo                            1
                                 kadus deep moisture leave in conditioning spray                            1
                                                            kadus velvet oil 100                            2
                                 kadus visible repair leave in conditioning balm                            1
                                                       koleston kit dark brown 3                            2
                                                      koleston kit exotic red 55                            2
                                                         koleston kit hazelnut 7                            2
                                                 koleston kit light ash blonde 8                            2
                                                      koleston kit light brown 5                            1
                                                koleston kit medium ash blonde 7                            2
                                                    koleston kit medium blonde 7                            2
                                           koleston maxi single blue black 301 0                            1
                                             koleston maxi single chestnut 305 4                            2
                                      koleston maxi single chocolate brown 306 7                            2
                                          koleston maxi single dark blonde 306 0                            2
                                           koleston maxi single dark brown 303 0                            1
                                           koleston maxi single deer brown 307 7                            2
                                     koleston maxi single light ash blonde 308 1                            2
                                          koleston maxi single light brown 305 0                            2
                                         koleston maxi single medium brown 304 0                            2
                                             koleston naturals dark ash blonde 6                            2
                                                koleston naturals red devotion 5                            1
                                                      koleston naturals violet 3                            2
                                                      men s woven baseball cap c                            1
 shiseido day spa deep back massage targeted stress massage for men and women 30                            1
                           shiseido uv protective compact foundation spf 30 dark                            1
                                                   smk imperial lash mascara ink                            1
                                                          soft color kit 28 blue                            1
                                                        soft color kit 40 medium                            2
                                                       soft color kit 70 natural                            1
                                                           soft color kit 71 ash                            1
                                                        soft color kit 77 golden                            1
                                                         soft color kit 80 light                            1
