,operating_unit_name,ecom_reference_order_number,ordered_item,ordered_quantity,unit_selling_price,unit_list_price,ordered_date,tax_code,product_id,product_name,product_category
0,Ch. Sarraf BU FMCG,400522,1102,1,1.382,1.5405,2024-03-02,REVENUE VAT FMCG 11%,1102,koleston naturals light ash blonde 8,['Permanent']
1,Ch. Sarraf BU FMCG,396929,1102,1,1.5405,1.5405,2024-01-23,REVENUE VAT FMCG 11%,1102,koleston naturals light ash blonde 8,['Permanent']
2,Ch. Sarraf BU FMCG,397809,1102,1,1.44,1.5405,2024-01-31,REVENUE VAT FMCG 11%,1102,koleston naturals light ash blonde 8,['Permanent']
3,Ch. Sarraf BU FMCG,400876,1103,1,1.34,1.5405,2024-03-06,REVENUE VAT FMCG 11%,1103,koleston naturals hazelnut 7,['Permanent']
4,Ch. Sarraf BU FMCG,398372,1103,1,1.298,1.5405,2024-02-15,REVENUE VAT FMCG 11%,1103,koleston naturals hazelnut 7,['Permanent']
5,Ch. Sarraf BU FMCG,395126,1103,2,1.3785,1.4595,2024-01-04,REVENUE VAT FMCG 11%,1103,koleston naturals hazelnut 7,['Permanent']
6,Ch. Sarraf BU FMCG,395752,1103,1,1.4475,1.5405,2024-01-09,REVENUE VAT FMCG 11%,1103,koleston naturals hazelnut 7,['Permanent']
7,Ch. Sarraf BU FMCG,395735,1103,1,1.5405,1.5405,2024-01-09,REVENUE VAT FMCG 11%,1103,koleston naturals hazelnut 7,['Permanent']
8,Ch. Sarraf BU FMCG,396469,1103,4,1.4965,1.5405,2024-01-17,REVENUE VAT FMCG 11%,1103,koleston naturals hazelnut 7,['Permanent']
9,Ch. Sarraf BU FMCG,400424,1105,4,1.5405,1.5405,2024-03-01,REVENUE VAT FMCG 11%,1105,koleston naturals medium blonde 7,['Permanent']
10,Ch. Sarraf BU FMCG,400876,1105,1,1.34,1.5405,2024-03-06,REVENUE VAT FMCG 11%,1105,koleston naturals medium blonde 7,['Permanent']
11,Ch. Sarraf BU FMCG,400522,1105,1,1.382,1.5405,2024-03-02,REVENUE VAT FMCG 11%,1105,koleston naturals medium blonde 7,['Permanent']
12,Ch. Sarraf BU FMCG,398033,1105,2,1.5405,1.5405,2024-02-05,REVENUE VAT FMCG 11%,1105,koleston naturals medium blonde 7,['Permanent']
13,Ch. Sarraf BU FMCG,395926,1105,1,1.5405,1.5405,2024-01-10,REVENUE VAT FMCG 11%,1105,koleston naturals medium blonde 7,['Permanent']
14,Ch. Sarraf BU FMCG,395485,1105,1,1.4595,1.4595,2024-01-08,REVENUE VAT FMCG 11%,1105,koleston naturals medium blonde 7,['Permanent']
15,Ch. Sarraf BU FMCG,395735,1105,1,1.5405,1.5405,2024-01-09,REVENUE VAT FMCG 11%,1105,koleston naturals medium blonde 7,['Permanent']
16,Ch. Sarraf BU FMCG,397413,1105,1,1.5405,1.5405,2024-01-27,REVENUE VAT FMCG 11%,1105,koleston naturals medium blonde 7,['Permanent']
17,Ch. Sarraf BU FMCG,400424,1107,4,1.5405,1.5405,2024-03-01,REVENUE VAT FMCG 11%,1107,koleston naturals dark blonde 6,['Permanent']
18,Ch. Sarraf BU FMCG,400522,1107,1,1.382,1.5405,2024-03-02,REVENUE VAT FMCG 11%,1107,koleston naturals dark blonde 6,['Permanent']
19,Ch. Sarraf BU FMCG,395926,1107,1,1.5405,1.5405,2024-01-10,REVENUE VAT FMCG 11%,1107,koleston naturals dark blonde 6,['Permanent']
20,Ch. Sarraf BU FMCG,395126,1107,2,1.3785,1.4595,2024-01-04,REVENUE VAT FMCG 11%,1107,koleston naturals dark blonde 6,['Permanent']
21,Ch. Sarraf BU FMCG,395735,1107,1,1.5405,1.5405,2024-01-09,REVENUE VAT FMCG 11%,1107,koleston naturals dark blonde 6,['Permanent']
22,Ch. Sarraf BU FMCG,397413,1107,1,1.5405,1.5405,2024-01-27,REVENUE VAT FMCG 11%,1107,koleston naturals dark blonde 6,['Permanent']
23,Ch. Sarraf BU FMCG,400816,1110,2,1.5405,1.5405,2024-03-06,REVENUE VAT FMCG 11%,1110,koleston naturals light brown 5,['Permanent']
24,Ch. Sarraf BU FMCG,398631,1110,1,1.5405,1.5405,2024-02-09,REVENUE VAT FMCG 11%,1110,koleston naturals light brown 5,['Permanent']
